zip	city	state_id	population
20601	Waldorf	MD	26236
20602	Waldorf	MD	26835
20603	Waldorf	MD	32726
20606	Abell	MD	314
20607	Accokeek	MD	10755
20608	Aquasco	MD	739
20609	Avenue	MD	1211
20611	Bel Alton	MD	1354
20612	Benedict	MD	181
20613	Brandywine	MD	13240
20615	Broomes Island	MD	513
20616	Bryans Road	MD	6728
20617	Bryantown	MD	715
20618	Bushwood	MD	402
20619	California	MD	13845
20620	Callaway	MD	1688
20621	Chaptico	MD	1277
20622	Charlotte Hall	MD	6692
20623	Cheltenham	MD	2619
20624	Clements	MD	1242
20625	Cobb Island	MD	929
20626	Coltons Point	MD	278
20628	Dameron	MD	452
20629	Dowell	MD	525
20630	Drayden	MD	192
20632	Faulkner	MD	314
20634	Great Mills	MD	6961
20636	Hollywood	MD	11295
20637	Hughesville	MD	5288
20639	Huntingtown	MD	15216
20640	Indian Head	MD	11113
20645	Issue	MD	653
20646	La Plata	MD	22583
20650	Leonardtown	MD	14069
20653	Lexington Park	MD	26112
20657	Lusby	MD	19711
20658	Marbury	MD	858
20659	Mechanicsville	MD	23030
20660	Morganza	MD	0
20662	Nanjemoy	MD	2333
20664	Newburg	MD	3285
20667	Park Hall	MD	868
20670	Patuxent River	MD	1620
20674	Piney Point	MD	1082
20675	Pomfret	MD	1662
20676	Port Republic	MD	3631
20677	Port Tobacco	MD	2215
20678	Prince Frederick	MD	12418
20680	Ridge	MD	649
20684	Saint Inigoes	MD	784
20685	Saint Leonard	MD	6732
20686	Saint Marys City	MD	1639
20687	Scotland	MD	429
20688	Solomons	MD	1945
20689	Sunderland	MD	2386
20690	Tall Timbers	MD	950
20692	Valley Lee	MD	684
20693	Welcome	MD	1171
20695	White Plains	MD	8400
20701	Annapolis Junction	MD	760
20705	Beltsville	MD	28348
20706	Lanham	MD	45329
20707	Laurel	MD	32184
20708	Laurel	MD	26842
20710	Bladensburg	MD	9483
20711	Lothian	MD	7400
20712	Mount Rainier	MD	9649
20714	North Beach	MD	5331
20715	Bowie	MD	27360
20716	Bowie	MD	22223
20720	Bowie	MD	23618
20721	Bowie	MD	30121
20722	Brentwood	MD	5604
20723	Laurel	MD	36082
20724	Laurel	MD	17681
20732	Chesapeake Beach	MD	10295
20733	Churchton	MD	2645
20735	Clinton	MD	37009
20736	Owings	MD	8715
20737	Riverdale	MD	22666
20740	College Park	MD	31723
20742	College Park	MD	6511
20743	Capitol Heights	MD	38747
20744	Fort Washington	MD	54572
20745	Oxon Hill	MD	27503
20746	Suitland	MD	26396
20747	District Heights	MD	41128
20748	Temple Hills	MD	38720
20751	Deale	MD	1972
20754	Dunkirk	MD	6950
20755	Fort George G Meade	MD	11340
20758	Friendship	MD	486
20759	Fulton	MD	4721
20762	Andrews Air Force Base	MD	3316
20763	Savage	MD	1955
20764	Shady Side	MD	3482
20765	Galesville	MD	530
20769	Glenn Dale	MD	6172
20770	Greenbelt	MD	24602
20772	Upper Marlboro	MD	46471
20774	Upper Marlboro	MD	49907
20776	Harwood	MD	2940
20777	Highland	MD	3444
20778	West River	MD	2460
20779	Tracys Landing	MD	956
20781	Hyattsville	MD	11460
20782	Hyattsville	MD	32527
20783	Hyattsville	MD	45550
20784	Hyattsville	MD	30381
20785	Hyattsville	MD	39237
20794	Jessup	MD	16956
20812	Glen Echo	MD	323
20814	Bethesda	MD	29632
20815	Chevy Chase	MD	30908
20816	Bethesda	MD	16661
20817	Bethesda	MD	38131
20818	Cabin John	MD	2072
20832	Olney	MD	25427
20833	Brookeville	MD	7746
20837	Poolesville	MD	6129
20838	Barnesville	MD	377
20839	Beallsville	MD	139
20841	Boyds	MD	11692
20842	Dickerson	MD	1467
20850	Rockville	MD	53522
20851	Rockville	MD	14519
20852	Rockville	MD	47338
20853	Rockville	MD	31510
20854	Potomac	MD	49196
20855	Derwood	MD	15955
20860	Sandy Spring	MD	2890
20861	Ashton	MD	2015
20862	Brinklow	MD	359
20866	Burtonsville	MD	16974
20868	Spencerville	MD	539
20871	Clarksburg	MD	18961
20872	Damascus	MD	12790
20874	Germantown	MD	60258
20876	Germantown	MD	31703
20877	Gaithersburg	MD	37948
20878	Gaithersburg	MD	63576
20879	Gaithersburg	MD	26343
20880	Washington Grove	MD	530
20882	Gaithersburg	MD	14441
20886	Montgomery Village	MD	34887
20895	Kensington	MD	18930
20896	Garrett Park	MD	792
20899	Gaithersburg	MD	284
20901	Silver Spring	MD	36802
20902	Silver Spring	MD	52752
20903	Silver Spring	MD	26951
20904	Silver Spring	MD	55856
20905	Silver Spring	MD	18590
20906	Silver Spring	MD	70441
20910	Silver Spring	MD	43729
20912	Takoma Park	MD	25118
21001	Aberdeen	MD	24959
21005	Aberdeen Proving Ground	MD	2724
21009	Abingdon	MD	31683
21010	Gunpowder	MD	329
21012	Arnold	MD	22746
21013	Baldwin	MD	5157
21014	Bel Air	MD	35668
21015	Bel Air	MD	28975
21017	Belcamp	MD	6034
21028	Churchville	MD	2609
21029	Clarksville	MD	11523
21030	Cockeysville	MD	24152
21031	Hunt Valley	MD	26
21032	Crownsville	MD	7787
21034	Darlington	MD	3178
21035	Davidsonville	MD	8315
21036	Dayton	MD	2243
21037	Edgewater	MD	21134
21040	Edgewood	MD	24717
21042	Ellicott City	MD	42157
21043	Ellicott City	MD	46747
21044	Columbia	MD	45741
21045	Columbia	MD	40265
21046	Columbia	MD	15597
21047	Fallston	MD	12629
21048	Finksburg	MD	9719
21050	Forest Hill	MD	17846
21051	Fork	MD	231
21052	Fort Howard	MD	179
21053	Freeland	MD	3134
21054	Gambrills	MD	11697
21056	Gibson Island	MD	333
21057	Glen Arm	MD	4109
21060	Glen Burnie	MD	36049
21061	Glen Burnie	MD	55020
21071	Glyndon	MD	454
